Reference, Value, Footprint, Datasheet, DIGIKEY, Digikey
D5,TVS,Diodes_SMD:SMB_Handsoldering,,732-9779-1-ND,
R4,13k,Resistors_SMD:R_0603_HandSoldering,
R3,4.3k,Resistors_SMD:R_0603_HandSoldering,
C4,1.5u,Capacitors_SMD:C_0805_HandSoldering,,445-12701-1-ND,
C6,8.2n,Capacitors_SMD:C_0603_HandSoldering,
C5,56p,Capacitors_SMD:C_0603_HandSoldering,
R2,11k,Resistors_SMD:R_0603_HandSoldering,
D6,STPS2L40,Diodes_SMD:SMB_Handsoldering,,497-5574-1-ND,
L1,82u,KicadLibrary:TDK_inductor_12.95x9.4x8.08,,,495-2686-1-ND
R1,0,Resistors_SMD:R_0603_HandSoldering,
C7,22u,SMD_Packages:SMD-1210_Pol,,478-9063-1-ND,
W3,VCC,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W2,POS_COIL,Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad,
W1,NEG_COIL,Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad,
D1,D,Diodes_SMD:SMB_Handsoldering,,497-5574-1-ND,
C1,100n,Capacitors_SMD:C_1210_HandSoldering,
C2,10u,Capacitors_SMD:c_elec_5x5.8,,PCE5022CT-ND,
C8,22u,SMD_Packages:SMD-1210_Pol,,478-9063-1-ND,
D2,D,Diodes_SMD:SMB_Handsoldering,,497-5574-1-ND,
D3,D,Diodes_SMD:SMB_Handsoldering,,497-5574-1-ND,
D4,D,Diodes_SMD:SMB_Handsoldering,,497-5574-1-ND,
C3,10u,Capacitors_SMD:c_elec_5x5.8,,PCE5022CT-ND,
U1,A5970AD,SMD_Packages:SOIC-8-N,,497-10183-1-ND,
W14,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W13,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
R14,330,Resistors_SMD:R_0603_HandSoldering,
D8,LED,LEDs:LED_0603,
P2,CONN_01X05,Socket_Strips:Socket_Strip_Straight_1x05,
U4,CYBLE-022001-00,KicadLibrary:CYBLE-022001,,428-3566-PROMO-ND,
U2,M24M01,SMD_Packages:SOIC-8-N,,497-6351-1-ND,
R6,4k,Resistors_SMD:R_0603_HandSoldering,
R5,4k,Resistors_SMD:R_0603_HandSoldering,
C9,0.1u,Capacitors_SMD:C_0603_HandSoldering,
W6,P4.0,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
R7,100k,Resistors_SMD:R_0603_HandSoldering,
R8,1M,Resistors_SMD:R_0603_HandSoldering,
W5,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
U3,LMC6062,SMD_Packages:SOIC-8-N,,LMC6032IMX/NOPBCT-ND,
R9,1M,Resistors_SMD:R_0603_HandSoldering,
C10,3p,Capacitors_SMD:C_0603_HandSoldering,
D7,PD15-21B/TR8,KicadFootprint:2-SMD_Z-Bend,,475-1346-1-ND,
R10,6K,Resistors_SMD:R_0603_HandSoldering,
R13,100K,Resistors_SMD:R_0603_HandSoldering,
R11,100k,Resistors_SMD:R_0603_HandSoldering,
R12,100k,Resistors_SMD:R_0603_HandSoldering,
W4,P3.6,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
R15,1K,Resistors_SMD:R_0805,
U5,STP24DP05,Housings_QFP:TQFP-48_7x7mm_Pitch0.5mm,,497-8283-1-ND,
R17,1K,Resistors_SMD:R_0805,
R16,1K,Resistors_SMD:R_0805,
W8,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W9,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W7,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W12,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W11,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W10,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
D9,LED_RABG,KicadFootprint:CREE_PLCC4,,CLV1A-FKB-CHMKPEHBB7A363CT-ND,
D10,LED_RABG,KicadFootprint:CREE_PLCC4,
D11,LED_RABG,KicadFootprint:CREE_PLCC4,
D12,LED_RABG,KicadFootprint:CREE_PLCC4,
D13,LED_RABG,KicadFootprint:CREE_PLCC4,
D14,LED_RABG,KicadFootprint:CREE_PLCC4,
D15,LED_RABG,KicadFootprint:CREE_PLCC4,
D16,LED_RABG,KicadFootprint:CREE_PLCC4,
